ip_address,status,mqtt
27.50.18.163,,gagal
27.50.18.164,,gagal
27.50.18.165,,gagal
27.50.18.166,,gagal
27.50.18.167,,gagal
27.50.18.168,,gagal
27.50.18.169,,gagal
27.50.18.170,,gagal
27.50.18.171,,gagal
27.50.18.172,,gagal
27.50.18.173,,gagal
27.50.18.174,,gagal
27.50.18.175,,gagal
27.50.18.176,,gagal
27.50.18.177,,gagal
27.50.18.178,,gagal
27.50.18.179,,gagal
27.50.18.180,,gagal
27.50.18.181,,gagal
27.50.18.182,,gagal
27.50.18.183,,gagal
27.50.18.184,,gagal
27.50.18.185,,gagal
27.50.18.186,,gagal
27.50.18.187,,gagal
27.50.18.188,,gagal
27.50.18.189,,gagal
27.50.18.190,,gagal
27.50.18.191,,gagal
27.50.18.192,,gagal
27.50.18.193,,gagal
27.50.18.194,,gagal
27.50.18.195,,gagal
27.50.18.196,,gagal
27.50.18.197,,gagal
27.50.18.198,,gagal
27.50.18.199,,gagal
27.50.18.200,,gagal
27.50.18.201,,gagal
27.50.18.202,,gagal
27.50.18.203,,gagal
27.50.18.204,,gagal
27.50.18.205,,gagal
27.50.18.206,,gagal
27.50.18.207,,gagal
27.50.18.208,,gagal
27.50.18.209,,gagal
27.50.18.210,,gagal
27.50.18.211,,gagal
27.50.18.212,,gagal
27.50.18.213,,gagal
27.50.18.214,,gagal
27.50.18.215,,gagal
27.50.18.216,,gagal
27.50.18.217,,gagal
27.50.18.218,,gagal
27.50.18.219,,gagal
27.50.18.220,,gagal
27.50.18.221,,gagal
27.50.18.222,,gagal
27.50.18.223,,gagal
27.50.18.224,,gagal
27.50.18.225,,gagal
27.50.18.226,,gagal
27.50.18.227,,gagal
27.50.18.228,,gagal
27.50.18.229,,gagal
27.50.18.230,,gagal
27.50.18.231,,gagal
27.50.18.232,,gagal
27.50.18.233,,gagal
27.50.18.234,,gagal
27.50.18.235,,gagal
27.50.18.236,,gagal
27.50.18.237,,gagal
27.50.18.238,,gagal
27.50.18.239,,gagal
27.50.18.240,,gagal
27.50.18.241,,gagal
27.50.18.242,,gagal
27.50.18.243,,gagal
27.50.18.244,,gagal
27.50.18.245,,gagal
27.50.18.246,,gagal
27.50.18.247,,gagal
27.50.18.248,,gagal
27.50.18.249,,gagal
27.50.18.250,,gagal
27.50.18.251,,gagal
27.50.18.252,,gagal
27.50.18.253,,gagal
27.50.18.254,,gagal
27.50.18.255,,gagal
27.50.19.0,,gagal
27.50.19.1,,gagal
27.50.19.2,,gagal
27.50.19.3,,gagal
27.50.19.4,,gagal
27.50.19.5,,gagal
27.50.19.6,,gagal
27.50.19.7,,gagal
27.50.19.8,,gagal
27.50.19.9,,gagal
27.50.19.10,,gagal
27.50.19.11,,gagal
27.50.19.12,,gagal
27.50.19.13,,gagal
27.50.19.14,,gagal
27.50.19.15,,gagal
27.50.19.16,,gagal
27.50.19.17,,gagal
27.50.19.18,,gagal
27.50.19.19,,gagal
27.50.19.20,,gagal
27.50.19.21,,gagal
27.50.19.22,,gagal
27.50.19.23,,gagal
27.50.19.24,,gagal
27.50.19.25,,gagal
27.50.19.26,,gagal
27.50.19.27,,gagal
27.50.19.28,,gagal
27.50.19.29,,gagal
27.50.19.30,,gagal
27.50.19.31,,gagal
27.50.19.32,,gagal
27.50.19.33,,gagal
27.50.19.34,,gagal
27.50.19.35,,gagal
27.50.19.36,,gagal
27.50.19.37,,gagal
27.50.19.38,,gagal
27.50.19.39,,gagal
27.50.19.40,,gagal
27.50.19.41,,gagal
27.50.19.42,,gagal
27.50.19.43,,gagal
27.50.19.44,,gagal
27.50.19.45,,gagal
27.50.19.46,,gagal
27.50.19.47,,gagal
27.50.19.48,,gagal
27.50.19.49,,gagal
27.50.19.50,,gagal
27.50.19.51,,gagal
27.50.19.52,,gagal
27.50.19.53,,gagal
27.50.19.54,,gagal
27.50.19.55,,gagal
27.50.19.56,,gagal
27.50.19.57,,gagal
27.50.19.58,,gagal
27.50.19.59,,gagal
27.50.19.60,,gagal
27.50.19.61,,gagal
27.50.19.62,,gagal
27.50.19.63,,gagal
27.50.19.64,,gagal
27.50.19.65,,gagal
27.50.19.66,,gagal
27.50.19.67,,gagal
27.50.19.68,,gagal
27.50.19.69,,gagal
27.50.19.70,,gagal
27.50.19.71,,gagal
27.50.19.72,,gagal
27.50.19.73,,gagal
27.50.19.74,,gagal
27.50.19.75,,gagal
27.50.19.76,,gagal
27.50.19.77,,gagal
27.50.19.78,,gagal
27.50.19.79,,gagal
27.50.19.80,,gagal
27.50.19.81,,gagal
27.50.19.82,,gagal
27.50.19.83,,gagal
27.50.19.84,,gagal
27.50.19.85,,gagal
27.50.19.86,,gagal
27.50.19.87,,gagal
27.50.19.88,,gagal
27.50.19.89,,gagal
27.50.19.90,,gagal
27.50.19.91,,gagal
27.50.19.92,,gagal
27.50.19.93,,gagal
27.50.19.94,,gagal
27.50.19.95,,gagal
27.50.19.96,,gagal
27.50.19.97,,gagal
27.50.19.98,,gagal
27.50.19.99,,gagal
27.50.19.100,,gagal
27.50.19.101,,gagal
27.50.19.102,,gagal
27.50.19.103,,gagal
27.50.19.104,,gagal
27.50.19.105,,gagal
27.50.19.106,,gagal
27.50.19.107,,gagal
27.50.19.108,,gagal
27.50.19.109,,gagal
27.50.19.110,,gagal
27.50.19.111,,gagal
27.50.19.112,,gagal
27.50.19.113,,gagal
27.50.19.114,,gagal
27.50.19.115,,gagal
27.50.19.116,,gagal
27.50.19.117,,gagal
27.50.19.118,,gagal
27.50.19.119,,gagal
27.50.19.120,,gagal
27.50.19.121,,gagal
27.50.19.122,,gagal
27.50.19.123,,gagal
27.50.19.124,,gagal
27.50.19.125,,gagal
27.50.19.126,,gagal
27.50.19.127,,gagal
27.50.19.128,,gagal
27.50.19.129,,gagal
27.50.19.130,,gagal
27.50.19.131,,gagal
27.50.19.132,,gagal
27.50.19.133,,gagal
27.50.19.134,,gagal
27.50.19.135,,gagal
27.50.19.136,,gagal
27.50.19.137,,gagal
27.50.19.138,,gagal
27.50.19.139,,gagal
27.50.19.140,,gagal
27.50.19.141,,gagal
27.50.19.142,,gagal
27.50.19.143,,gagal
27.50.19.144,,gagal
27.50.19.145,,gagal
27.50.19.146,,gagal
27.50.19.147,,gagal
27.50.19.148,,gagal
27.50.19.149,,gagal
27.50.19.150,,gagal
27.50.19.151,,gagal
27.50.19.152,,gagal
27.50.19.153,,gagal
27.50.19.154,,gagal
27.50.19.155,,gagal
27.50.19.156,,gagal
27.50.19.157,,gagal
27.50.19.158,,gagal
27.50.19.159,,gagal
27.50.19.160,,gagal
27.50.19.161,,gagal
27.50.19.162,,gagal
27.50.19.163,,gagal
27.50.19.164,,gagal
27.50.19.165,,gagal
27.50.19.166,,gagal
27.50.19.167,,gagal
27.50.19.168,,gagal
27.50.19.169,,gagal
27.50.19.170,,gagal
27.50.19.171,,gagal
27.50.19.172,,gagal
27.50.19.173,,gagal
27.50.19.174,,gagal
27.50.19.175,,gagal
27.50.19.176,,gagal
27.50.19.177,,gagal
27.50.19.178,,gagal
27.50.19.179,,gagal
27.50.19.180,,gagal
27.50.19.181,,gagal
27.50.19.182,,gagal
27.50.19.183,,gagal
27.50.19.184,,gagal
27.50.19.185,,gagal
27.50.19.186,,gagal
27.50.19.187,,gagal
27.50.19.188,,gagal
27.50.19.189,,gagal
27.50.19.190,,gagal
27.50.19.191,,gagal
27.50.19.192,,gagal
27.50.19.193,,gagal
27.50.19.194,,gagal
27.50.19.195,,gagal
27.50.19.196,,gagal
27.50.19.197,,gagal
27.50.19.198,,gagal
27.50.19.199,,gagal
27.50.19.200,,gagal
27.50.19.201,,gagal
27.50.19.202,,gagal
27.50.19.203,,gagal
27.50.19.204,,gagal
27.50.19.205,,gagal
27.50.19.206,,gagal
27.50.19.207,,gagal
27.50.19.208,,gagal
27.50.19.209,,gagal
27.50.19.210,,gagal
27.50.19.211,,gagal
27.50.19.212,,gagal
27.50.19.213,,gagal
27.50.19.214,,gagal
27.50.19.215,,gagal
27.50.19.216,,gagal
27.50.19.217,,gagal
27.50.19.218,,gagal
27.50.19.219,,gagal
27.50.19.220,,gagal
27.50.19.221,,gagal
27.50.19.222,,gagal
27.50.19.223,,gagal
27.50.19.224,,gagal
27.50.19.225,,gagal
27.50.19.226,,gagal
27.50.19.227,,gagal
27.50.19.228,,gagal
27.50.19.229,,gagal
27.50.19.230,,gagal
27.50.19.231,,gagal
27.50.19.232,,gagal
27.50.19.233,,gagal
27.50.19.234,,gagal
27.50.19.235,,gagal
27.50.19.236,,gagal
27.50.19.237,,gagal
27.50.19.238,,gagal
27.50.19.239,,gagal
27.50.19.240,,gagal
27.50.19.241,,gagal
27.50.19.242,,gagal
27.50.19.243,,gagal
27.50.19.244,,gagal
27.50.19.245,,gagal
27.50.19.246,,gagal
27.50.19.247,,gagal
27.50.19.248,,gagal
27.50.19.249,,gagal
27.50.19.250,,gagal
27.50.19.251,,gagal
27.50.19.252,,gagal
27.50.19.253,,gagal
27.50.19.254,,gagal
27.50.19.255,,gagal
27.50.20.0,,gagal
27.50.20.1,,gagal
27.50.20.2,,gagal
27.50.20.3,,gagal
27.50.20.4,,gagal
27.50.20.5,,gagal
27.50.20.6,,gagal
27.50.20.7,,gagal
27.50.20.8,,gagal
27.50.20.9,,gagal
27.50.20.10,,gagal
27.50.20.11,,gagal
27.50.20.12,,gagal
27.50.20.13,,gagal
27.50.20.14,,gagal
27.50.20.15,,gagal
27.50.20.16,,gagal
27.50.20.17,,gagal
27.50.20.18,,gagal
27.50.20.19,,gagal
27.50.20.20,,gagal
